CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
21435	21489	26	0.893	-1.992
17372	21434	26	0.7424	1338.702
17395	21434	26	0.7136	1339.709
21434	21489	26	0.731	-1555.826
17395	21458	26	0.7009	-215.124
21401	21458	26	0.8904	-1.996
21458	21489	26	0.8749	-0.992
17372	17373	26	0.877	0.004
17373	17395	26	0.8958	-1.012
17372	17395	26	0.9271	-1.008
21401	21489	26	0.8187	-2.988
21401	21436	26	0.7147	-0.988
35259	35266	27	0.888	-1.008
35260	35266	27	0.7139	-1.004
35266	35271	27	0.9222	-0.984
35259	35271	27	0.7852	-1.992
35259	35260	27	0.7064	-0.004
2303	2306	28	0.9252	-1.004
28735	28753	29	0.9571	-0.984
23541	23546	30	0.8291	-0.006
23546	23571	30	0.8659	-1.005
23546	23603	30	0.7825	-2.01
23541	23571	30	0.8817	-1.011
23541	23603	30	0.8231	-2.016
23571	23603	30	0.9189	-1.005
23603	28728	30	0.7397	-243.117
28691	28728	30	0.9236	-2.007
28710	28728	30	0.9217	-1.008
28691	28710	30	0.9288	-0.999
27349	27379	31	0.7436	-0.996
27352	27379	31	0.7882	-1.002
27377	27379	31	0.7781	0.003
27379	27395	31	0.7102	-1.002
27349	27377	31	0.973	-0.999
27352	27377	31	0.7621	-1.005
27377	27395	31	0.8725	-0.999
27349	27352	31	0.7465	0.006
27352	27395	31	0.7444	-2.004
27349	27395	31	0.9433	-1.998
21354	21380	32	0.9741	-1.005
21354	21786	32	0.948	-17.028
21354	21813	32	0.9726	-18.03
21380	21786	32	0.9488	-16.023
21786	21813	32	0.9522	-1.002
21380	21813	32	0.9749	-17.025
15327	15365	33	0.9556	-1.01
15365	15386	33	0.7625	-0.978
15327	15386	33	0.706	-1.988
5321	5330	34	0.9326	-1.002
4455	4473	35	0.9096	-1.005
11277	11330	36	0.8742	-2.0
11306	11330	36	0.9008	-1.0
11330	11362	36	0.7883	-1.008
11330	21277	36	0.7263	242.178
11277	11362	36	0.7774	-3.008
11306	11362	36	0.7728	-2.008
11277	26788	36	0.7048	-0.998
11277	11306	36	0.9446	-1.0
11306	21277	36	0.7186	241.178
11277	21277	36	0.7415	240.178
16130	16132	37	0.8825	0.0
14518	14544	38	0.8463	-1.0
1522	3411	39	0.7276	-113.052
6753	6768	40	0.794	-1.002
10660	26146	41	0.7588	-1.008
10673	26146	41	0.727	0.004
26110	26146	41	0.9535	-2.007
