identifier	precursor_charge	precursor_mz	retention_time	cluster	filename	scan
mzspec:USI000000:EK_Q_07:scan:5122	2	508.280792236328	27.928726	869	EK_Q_07.mzML	5122
mzspec:USI000000:EK_Q_07:scan:5123	2	694.36279296875	27.934072	2335	EK_Q_07.mzML	5123
mzspec:USI000000:EK_Q_07:scan:5124	2	733.859924316406	27.942916	2579	EK_Q_07.mzML	5124
mzspec:USI000000:EK_Q_07:scan:5133	2	849.384887695313	28.013199	3049	EK_Q_07.mzML	5133
mzspec:USI000000:EK_Q_07:scan:5134	2	467.256042480469	28.018803	515	EK_Q_07.mzML	5134
mzspec:USI000000:EK_Q_07:scan:5135	2	553.290588378906	28.024157	1232	EK_Q_07.mzML	5135
mzspec:USI000000:EK_Q_07:scan:5136	3	473.905548095703	28.029543	3911	EK_Q_07.mzML	5136
mzspec:USI000000:EK_Q_07:scan:5137	2	582.318664550781	28.037251	1522	EK_Q_07.mzML	5137
mzspec:USI000000:EK_Q_07:scan:5138	2	563.828308105469	28.046076	1331	EK_Q_07.mzML	5138
mzspec:USI000000:EK_Q_07:scan:5139	2	825.902465820313	28.05492	2973	EK_Q_07.mzML	5139
mzspec:USI000000:EK_Q_07:scan:5141	2	710.352905273438	28.073235	2448	EK_Q_07.mzML	5141
mzspec:USI000000:EK_Q_07:scan:5145	3	440.581878662109	28.09878	3797	EK_Q_07.mzML	5145
mzspec:USI000000:EK_Q_07:scan:5146	3	483.915283203125	28.105345	3949	EK_Q_07.mzML	5146
mzspec:USI000000:EK_Q_07:scan:5147	3	431.571594238281	28.11331	3764	EK_Q_07.mzML	5147
mzspec:USI000000:EK_Q_07:scan:5151	2	680.33642578125	28.140095	2228	EK_Q_07.mzML	5151
mzspec:USI000000:EK_Q_07:scan:5163	3	396.888153076172	28.225683	3607	EK_Q_07.mzML	5163
mzspec:USI000000:EK_Q_07:scan:5164	2	609.309020996094	28.23451	1751	EK_Q_07.mzML	5164
